ImageIndex,record_id,processid,specimen_identifiers,identification_method,phylum,class,order,family,genus,species,sex,lifestage,lat,lon,site_code,caption,media_descriptor,image_file,copyright_institution,photographer
ImgIndex_0483,7009982,CRICO323-16,NID-N1364,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1364_2+1523989114.jpg,University of Nebraska,Tom Powers
ImgIndex_0484,7009983,CRICO324-16,NID-N1366,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1366_1+1523989434.jpg,Tom Powers,Tom Powers
ImgIndex_0485,7009984,CRICO325-16,NID-N1367,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female midbody cuticle with anastomoses,Midbody,http://www.boldsystems.org/pics/CRICO/NID1367_3+1523991352.jpg,University of Nebraska,Tom Powers
ImgIndex_0486,7009984,CRICO325-16,NID-N1367,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1367_1+1523991290.jpg,University of Nebraska,Tom Powers
ImgIndex_0487,7009984,CRICO325-16,NID-N1367,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1367_2+1523991318.jpg,University of Nebraska,Tom Powers
ImgIndex_0488,7009985,CRICO326-16,NID-N1368,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema xenoplax HG14,F,Adult,40.8678,-96.8103,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1368_1+1523991508.jpg,University of Nebraska,Tom Powers
ImgIndex_0489,7009985,CRICO326-16,NID-N1368,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema xenoplax HG14,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1368_3+1523991736.jpg,University of Nebraska,Tom Powers
ImgIndex_0490,7009985,CRICO326-16,NID-N1368,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema xenoplax HG14,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1368_2+1523991634.jpg,University of Nebraska,Tom Powers
ImgIndex_0491,7009986,CRICO327-16,NID-N1369,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1369_2+1523992690.jpg,University of Nebraska,Tom Powers
ImgIndex_0492,7009986,CRICO327-16,NID-N1369,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1369_1+1523992610.jpg,University of Nebraska,Tom Powers
ImgIndex_0493,7009986,CRICO327-16,NID-N1369,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1369_3+1523993092.jpg,University of Nebraska,Tom Powers
ImgIndex_0494,7009986,CRICO327-16,NID-N1369,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female tail cuticle with vulval flap,Tail,http://www.boldsystems.org/pics/CRICO/NID1369_4+1523993252.jpg,University of Nebraska,Tom Powers
ImgIndex_0495,7009989,CRICO330-16,NID-N1372,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema sp. HG09,F,Adult,40.6932,-96.8494,,female head with lip region and stylet 1000X magnification,Head,http://www.boldsystems.org/pics/CRICO/NID1372_2+1466627200.jpg,University of Nebraska,Tom Powers
ImgIndex_0496,7009989,CRICO330-16,NID-N1372,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema sp. HG09,F,Adult,40.6932,-96.8494,,female entire body 400X magnification,Entire body,http://www.boldsystems.org/pics/CRICO/NID1372_1+1466627150.jpg,University of Nebraska,Tom Powers
ImgIndex_0497,7009989,CRICO330-16,NID-N1372,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Lobocriconema,Lobocriconema sp. HG09,F,Adult,40.6932,-96.8494,,female tail 1000X magnification,Tail,http://www.boldsystems.org/pics/CRICO/NID1372_3+1466627252.jpg,University of Nebraska,Tom Powers
