Reference,Species,Confirmation,n,type,LGT (mm),a,b,b',c,c',V,T,STY μm,spicules,gubernaculum,DHV,STA,m,DGO,BBE,OVI,OGO,EXPO,DVU,ANW,LFW,TAIL,DAN,ANT,FRW,ANP,PRO,HAB,ANL,LIP,INC,TSH,KBS,APR,Tipann,Vann,ARO
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus brzeskii Karssen,Waeyenberge & Moens, 2000","Karssen et al., 2000",10,males,0.66,30.0,7.8,,14.1,,,,18.0,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Sher & Allen, 1953",,Female neotype,0.59,34.0,6.3,,21.0,,82.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Sher & Allen, 1953",,females,0.58,30.0,6.0,,19.5,,79.5,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Sher & Allen, 1953",,males,0.58,33.0,6.5,,20.5,,,48.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Loof, 1960",69,females,0.53,23.7,6.8,,19.0,,80.0,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Loof, 1960",10,males,0.48,27.4,6.5,,19.1,,,48.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Bajaj & Bhatti, 1984",30,females,0.62,28.0,7.3,4.8,20.0,,81.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Ryss, 1988",10,females,0.62,28.0,5.9,,21.0,2.9,79.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Ryss, 1988",10,males,0.52,28.0,6.2,,20.0,2.6,,,16.0,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Mizukubo, 1992",141,females,0.51,26.5,6.2,3.8,19.0,2.2,80.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
