Genus,Species Count
Diodontolaimus,3
Halaphanolaimus,6
Leptolaimoides,9
Leptolaimus,39
Leptoplectonema,1
Necolaimus,1
Paraplectonema,7
Pakira,1
Setostephanolaimus,7
Stephanolaimus,3
Anonchus,10
Aphanolaimus,38
Aphanonchus,8
Paraphanolaimus,13
Rhadinema,3
Aegialoalaimus,9
Paraterschellingia,4
Diplopeltoides,23
Domorganus,10
Prodomorganus,1
Tarvaia,8
Ceramonema,21
Dasynemella,6
Dasynemoides,6
Metadasynemella,3
Metadasynemoides,3
Pristionema,1
Pselionema,13
Pterygonema,5
Chitwoodia,2
Tubolaimoides,2
Anaplectus,12
Arctiplectus,1
Perioplectus,2
Ceratoplectus,6
Oligoplectus,1
Plectus,4
Vetus,12
Anthonema,1
Ereptonema,5
Neotylocephalus,3
Tylocephalus,11
Wilsonema,9
Yeatesinia,1
Caribplectus,1
Chronogaster,43
Cynura,5
Keralanema,1
Plectolaimus,2
Euteratocephalus,6
Metateratocephalus,3
Anguinoides,7
Deontolaimus,7
Donsinemella,1
Hemiplectus,1
Ionema,5
Listia,3
Neocamacolaimus,1
Neurella,1
Onchiolistia,3
Onchium,10
Procamacolaimus,7
Smithsoninema,1
Manunema,3
Haliplectus,31
Longitubopharynx,1
Setoplectus,4
Adenodelphis,1
Benthimermis,30
Trophomera,2
Steratocephalus,1
Teratocephalus,21
Chambersiella,1
Cornilaimus,1
Fescia,1
Geraldius,1
Trualaimus,4
Diastolaimus,2
Macrolaimus,12
Cuticularia,6
Daubaylia,9
Deleyia,2
Myolaimus,9
Peplorhabditis,1
Praeputirhabditis,1
Poikilolaimus,6
Carabonema,1
Cephalobium,13
Gynopoecilia,1
Hugotdiplogaster,1
Parasitodiplogaster,20
Sachsia,3
Syconema,1
Mehdinema,2
Diplogasteroides,37
Goffartia,7
Rhabditidoides,8
Acrostichus,36
Allodiplogaster,0
Anchidiplogaster,1
Apifilaria,1
Chilonema,1
Costanemella,1
Cretodiplogaster,1
Demaniella,6
Diplogaster,7
Diplogasteriana,1
Diplogastrellus,2
Diplonema,1
Fictor,20
Filotermes,1
Formicodiplogaster,1
Gubalonus,1
Koerneria,8
Leptojacobus,1
Levipalatum,1
Micoletzkya,23
Mononchoides,50
Oigolaimella,7
Oligodiplogaster,1
Palaeodiplogaster,1
Paroigolaimella,12
Peterngus,1
Pristionchus,79
Scarabinema,1
Scolytonema,3
Sudhausia,8
Teratodiplogaster,0
Virenodiplogaster,1
Ceratosolenus,2
Longibucca,3
Protocylindrocorpus,0
Rhabditolaimus,22
Medibulla,2
Shahnema,4
Diplogasteritus,3
Titilleus,1
Heteropleuronema,1
Neodiplogaster,11
Butlerius,17
Pseudodiplogasteroides,2
Aenigmenchus,1
Tylopharynx,2
Brevibucca,3
Cuticonema,1
Tarantobelus,1
Aspidonema,7
Bunonema,19
Craspedonema,3
Rhodolaimus,13
Rhodonema,2
Sachsium,1
Stammeria,1
Pterygorhabditis,6
Odontopharynx,2
Ablechroiulus,14
Choriorhabditis,4
Discoditis,2
Paradoxorhabditis,1
Rhabditoides,9
Rhitilla,1
Rhitis,7
Haematozoon,2
Bursilla,8
Lesjan,1
Mesorhabditis,19
Operculorhabditis,1
Palaeorhabditis,1
Psocidonema,1
Uniovaria,1
Crustorhabditis,5
Marispelodera,1
Distolabrellus,3
Teratorhabditis,5
Tetrarhabditis,1
Coarctadera,9
Pelodera,16
Rhomborhabditis,1
Parasitorhabditis,43
Acanthorhabdias,1
Chabirenia,0
Entomelas,9
Neoentomelas,1
Pneumonema,1
Rhabdias,82
Serpentirhabdias,18
Heterorhabditis,27
Palaeoarachnus,1
Proheterorhabditis,1
Syrphonema,1
Cruznema,8
Epimenides,1
Buetschlinema,5
Rhabpanus,3
Carinoscapter,1
Diploscapter,14
Sclerorhabditis,1
Protorhabditis,18
Prodontorhabditis,41
Caenorhabditis,56
Crustafila,1
Indorhabditis,1
Loffienema,1
Psychodorhabditis,6
Reiterina,1
Rhabditis,27
Pellioditis,19
Phasmarhabditis,25
Cephaloboides,25
Curviditis,2
Flagicaudoides,1
Odontorhabditis,3
Colporhabditis,1
Diploscapteroides,7
Auanema,0
Rhabditella,10
Litoditis,4
Metarhabditis,15
Oryctonema,23
Dolichorhabditis,10
Oscheius,58
Tipulacomis,4
Eudronema,1
Himatidiophila,1
Matthesonema,2
Neorhabditis,1
Pararhabditis,1
Xylorhabditis,1
Rhabditonema,1
Saprorhabditis,1
Stegorhabditis,1
Stomachorhabditis,4
Termirhabditis,1
Deletrocephalus,2
Paradeletrocephalus,1
Bidentostomum,1
Borania,1
Chabertiella,1
Choniangium,3
Codiostomum,1
Craterostomum,2
Crycophorus,1
Decrusia,1
Dicerocola,1
Equinurbia,1
Javellia,1
Maplestonema,1
Oesophagodontus,1
Paradoxostrongylus,0
Parapoteriostomum,7
