ImageName,Gender,General,Descr,Detail,KeyArea,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
https://nematode.unl.edu/monhys4.jpg,female,,,basal esophagus,,,"Konza Prairie, Kansas",Sporobolus,Monhystera,,,,,,
https://nematode.unl.edu/monhys5.jpg,female,,,tail,,,"Konza Prairie, Kansas",Sporobolus,Monhystera,,,,,,
https://nematode.unl.edu/monhys6.jpg,female,,,head,Anterior,1000X,"Konza Prairie, Kansas",Sporobolus,Monhystera,,,,,,
https://nematode.unl.edu/monhys7.jpg,female,,,amphid,Anterior,1000X,"Konza Prairie, Kansas",Sporobolus,Monhystera,,,,,,
https://nematode.unl.edu/monhys8.jpg,female,,,head,Anterior,400X,"Konza Prairie, Kansas",Junegrass,Monhystera,,,,,,
https://nematode.unl.edu/monhys9.jpg,female,,,tail,,400X,"Konza Prairie, Kansas",,Monhystera,,,,,,
https://nematode.unl.edu/monvillo.jpg,,,,compare,,,"Longs Peak - Rocky Mountain National, Colorado",,Monhystera villosa,,,,,,
https://nematode.unl.edu/aphas1.jpg,juvenile,,,stoma,,1000X,"Nine Mile Prairie, Lancaster County, Nebraska",Switchgrass,Aphanolaimus,,,,,,
https://nematode.unl.edu/chronog1.jpg,female,,,head,Anterior,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Switchgrass,Chronogaster,,,,,,
https://nematode.unl.edu/leptol1.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",Little bluestem,Leptolaimus,,,,,,
https://nematode.unl.edu/leptol2.jpg,juvenile,,,body,,100x,"Konza Prairie, Kansas",Little bluestem,Leptolaimus,,,,,,
https://nematode.unl.edu/leptol3.jpg,juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",Little bluestem,Leptolaimus,,,,,,
https://nematode.unl.edu/leptols1.jpg,male,,,head,Anterior,400X,,,Leptolaimus,,,,,,
https://nematode.unl.edu/parapl1.jpg,,,,head,Anterior,400X,"Konza Prairie, Kansas",Scribner's panicum,Paraplectonema,,,,,,
https://nematode.unl.edu/parapl2.jpg,juvenile,,,tail,,400X,"Konza Prairie, Kansas",Scribner's panicum,Paraplectonema,,,,,,
https://nematode.unl.edu/parpl1.jpg,juvenile,,,head,Anterior,1000X,,Big bluestem,Paraplectonema,,,,,,
https://nematode.unl.edu/parpl2.jpg,juvenile,,,basal esophagus,,,,Big bluestem,Paraplectonema,,,,,,
