Genus,NCBI Species Count,TAXA Species Count,WoRMS Species Count,GenBank Sequence Count
Dagda,1,1.0,3,0
Daniconema,0,1.0,1,0
Daptonema,59,167.0,50,0
Dartevellenia,0,1.0,0,0
Dasylaimus,0,1.0,1,0
Dasynemella,1,6.0,7,0
Dasynemoides,2,6.0,16,0
Daubaylia,3,9.0,2,0
Daubneyia,0,7.0,0,0
Davenema,1,1.0,1,0
Dayellus,0,1.0,1,0
Decamermis,0,1.0,1,0
Decorataria,1,0,1,0
Decrusia,0,1.0,0,0
Deficephalobus,1,3.0,3,1
Deladenus,85,40.0,25,6
Delatylus,1,1.0,1,0
Deletrocephalus,1,2.0,1,0
Deleyia,0,2.0,2,0
Delicata,0,10.0,20,0
Deliria,0,1.0,0,0
Deltanema,0,1.0,1,0
